# Isoplus Pipe Catalog - Starre Verbundsysteme (Rigid Bonded Systems), Reihe 1
# Source: http://www.isoplus.de/fileadmin/user_upload/downloads/documents/germany/Catalogue_German/Kapitel_2_Starre_Verbundsysteme.pdf
# Page 9: Zulaessige Massenstroeme bei einem Druckverlust von 60-80 Pa/m Rohrlaenge
# Date extracted: 2025
# Units: DN [designation], wall_thickness [m], inner_diameter [m],
#        d_ins [m], mass_flow [kg/s] (SI units)
#
# d_ins (insulation thickness) added for Reihe 1 (Standard, einreihig). Derived from:
#   d_ins = (D_casing_outer - D_steel_outer) / 2
#   D_steel_outer = inner_diameter + 2 * wall_thickness
# Casing outer diameters taken from isoplus Reihe 1 standard sizing
# (Mantelrohr-Aussendurchmesser). For Reihe 2 / Reihe 3 (improved insulation)
# d_ins values would be larger - replace this catalog or use an explicit
# column_mapping if your project uses a different series.
DN,wall_thickness,inner_diameter,d_ins,mass_flow_min,mass_flow_max
DN20,0.0026,0.0217,0.0316,0.111,0.139
DN25,0.0032,0.0273,0.0282,0.222,0.278
DN32,0.0032,0.0360,0.0338,0.472,0.556
DN40,0.0032,0.0419,0.0309,0.694,0.833
DN50,0.0032,0.0539,0.0324,1.306,1.528
DN65,0.0032,0.0697,0.0320,2.583,3.056
DN80,0.0032,0.0825,0.0356,4.028,4.583
DN100,0.0036,0.1071,0.0429,7.917,9.167
DN125,0.0036,0.1325,0.0427,13.889,16.111
DN150,0.0040,0.1603,0.0409,22.778,26.389
DN200,0.0045,0.2101,0.0480,46.389,53.611
DN250,0.0050,0.2630,0.0635,83.333,96.667
DN300,0.0056,0.3127,0.0631,131.111,151.944
DN350,0.0056,0.3444,0.0722,169.444,195.833
DN400,0.0063,0.3938,0.0768,239.444,277.778
DN450,0.0063,0.4446,0.0864,327.778,380.556
DN500,0.0063,0.4954,0.1010,436.111,505.556
DN600,0.0071,0.5958,0.0950,700.000,811.111
DN700,0.0080,0.6950,0.0945,1047.222,1213.889
DN800,0.0088,0.7954,0.0935,1497.222,1733.333
DN900,0.0100,0.8940,0.0930,2055.556,2361.111
DN1000,0.0110,0.9940,0.0920,2555.556,
